CurrentOfficial_Name,OperatorOwner_Country,Users,Orbit_Class,GEOlongitude,Perigee_km,Apogee_km,LaunchMass_kg,DryMass_kg,Power_watts,Launch_Date,ExpectedLifetime,Contractor_Country,Launch_Vehicle,GEOlatitude,Users_group,Vehicle_group,Year
Astra 1L,Luxembourg,Commercial,GEO,19.3,,,,,,2007-05-04,15.0,USA,Ariane 5 ECA,0.0,Commercial,Ariane,2007
Astra 1M,Luxembourg,Commercial,GEO,19.2,,,,,,2008-11-05,15.0,France,Proton M,0.0,Commercial,Proton,2008
Astra 1N,Luxembourg,Commercial,GEO,28.2,,,,,,2011-08-06,15.0,France,Ariane 5 ECA,0.0,Commercial,Ariane,2011
Astra 2A,Luxembourg,Commercial,GEO,28.16,,,,,,1998-08-30,15.0,USA,Proton K,0.0,Commercial,Proton,1998
Astra 2B,Luxembourg,Commercial,GEO,31.33,,,,,,2000-09-14,14.0,France/UK/Germany,Ariane 5G,0.0,Commercial,Ariane,2000
Astra 2C,Luxembourg,Commercial,GEO,28.21,,,,,,2001-06-16,15.0,USA,Proton K,0.0,Commercial,Proton,2001
Astra 2D,Luxembourg,Commercial,GEO,28.14,,,,700.0,,2000-12-19,15.0,USA,Ariane 5G,0.0,Commercial,Ariane,2000
Astra 2E,Luxembourg,Commercial,GEO,28.2,,,,,,2013-09-29,15.0,France,Proton M,0.0,Commercial,Proton,2013
Astra 2F,Luxembourg,Commercial,GEO,28.2,,,,,,2012-09-28,15.0,France/UK/Germany,Ariane 5 ECA,0.0,Commercial,Ariane,2012
Astra 2G,Luxembourg,Commercial,GEO,28.2,,,,,,2014-12-27,15.0,Germany/France,Proton M,0.0,Commercial,Proton,2014
Astra 3A,Luxembourg,Commercial,GEO,23.48,,,,750.0,,2002-03-29,10.0,USA,Ariane 44L,0.0,Commercial,Ariane,2002
Astra 3B,Luxembourg,Commercial,GEO,23.5,,,,,,2010-05-21,15.0,France/UK/Germany/Spain,Ariane 5 ECA,0.0,Commercial,Ariane,2010
Astra 5B,Luxembourg,Commercial,GEO,31.55,,,,,,2014-03-22,15.0,France,Ariane 5 ECA,0.0,Commercial,Ariane,2014
Astranis Demosat-2,USA,Commercial,LEO,0.0,494.0,505.0,,,,2018-01-11,,USA,PSLV,0.0,Commercial,PSLV,2018
Astrocast 0.1,Switzerland,Commercial,LEO,0.0,574.0,590.0,4.0,,,2018-12-03,,Switzerland,Falcon 9,0.0,Commercial,Falcon,2018
Astrocast 0.2,Switzerland,Commercial,LEO,0.0,493.0,510.0,4.0,,,2019-04-01,,Switzerland,PSLV,0.0,Commercial,PSLV,2019
Astrosat,India,Government,LEO,0.0,632.0,649.0,230.0,,,2015-09-28,5.0,India,PSLV C-30,0.0,Government,PSLV,2015
AT&T T16,USA,Commercial,GEO,-101.0,,,,,,2019-06-20,15.0,France,Ariane 5,0.0,Commercial,Ariane,2019
Athena-Fidus,France/Italy,Military/Government,GEO,25.0,,,,,,2014-02-06,15.0,France,Ariane 5 ECA,0.0,Dual,Ariane,2014
Athenoxat-1,Singapore,Commercial,LEO,0.0,532.0,550.0,6.0,,,2015-12-16,,Singapore,PSLV-C29,0.0,Commercial,PSLV,2015
ATL-1,Hungary,Commercial,LEO,0.0,328.0,372.0,1.0,,,2019-12-06,,Hungary,Electron,0.0,Commercial,Electron,2019
Aurora,Russia,Commercial,LEO,0.0,583.0,618.0,25.0,,,2014-06-19,1.0,Russia,Dnepr,0.0,Commercial,Dnepr,2014
Azerspace 1/Africasat-1a,Azerbaijan,Government,GEO,46.0,,,,,,2013-02-07,15.0,USA,Ariane 5 ECA,0.0,Government,Ariane,2013
Azerspace 2/Intelsat-38,Azerbaijan,Government,GEO,45.0,,,,,,2018-09-25,15.0,USA,Ariane 5 ECA,0.0,Government,Ariane,2018
AztecSat-1,USA/Mexico,Government/Civil,LEO,0.0,412.0,423.0,2.0,,,2020-02-19,,USA/Mexico,Nanorack Deployer,0.0,Dual,In-Space deployer,2020
Badr 4,Multinational,Government,GEO,26.02,,,,,,2006-11-08,15.0,France/UK/Germany/Spain,Proton M,0.0,Government,Proton,2006
Badr 5,Multinational,Government,GEO,26.0,,,,,,2010-06-03,15.0,France/UK/Germany/Spain,Proton,0.0,Government,Proton,2010
Badr 5A,Multinational,Government,GEO,30.5,,,,,,2010-06-26,15.0,France/UK/Germany/Spain,Ariane 5 ECA,0.0,Government,Ariane,2010
Badr 6,Multinational,Government,GEO,26.08,,,,,,2008-07-07,15.0,France/UK/Germany/Spain,Ariane 5 ECA,0.0,Government,Ariane,2008
Badr 7,Multinational,Government,GEO,26.0,,,,,,2015-11-10,15.0,France/UK/Germany/Spain,Ariane 5,0.0,Government,Ariane,2015
Bangabandhu 1,Bangladesh,Government,GEO,119.1,,,,,,2018-05-11,15.0,France/Belgium/Spain/Italy,Falcon 9,0.0,Government,Falcon,2018
Cosmos 2503,Russia,Military,LEO,0.0,570.0,586.0,,,,2015-02-27,5.0,Russia,Soyuz-2.1b,0.0,Military,Soyuz,2015
Cosmos 2515,Russia,Military,LEO,0.0,549.0,594.0,,,,2016-03-24,5.0,Russia,Soyuz 2.1a,0.0,Military,Soyuz,2016
BDSAGR-1,China,Commercial,LEO,0.0,613.0,634.0,40.0,,,2019-12-21,3.0,China,Long March 4B,0.0,Commercial,Long March,2019
Beesat-4,Germany,Civil,LEO,0.0,487.0,500.0,1.0,,,2016-06-22,,Germany,PSLV,0.0,Civil,PSLV,2016
